id;tipo;descricao;data_inicio;data_fim
1;LICENCA;Developer Soap Gorgeous;Solutions Fresh Fiji Dollar;Investor
2;LICENCA;Chair Personal Loan Account Ergonomic Plastic Bacon;parsing relationships;intranet Credit Card Account Alaska
3;OUTROS;back up Cotton;SCSI calculate solid state;real-time Baby
4;LICENCA;Buckinghamshire Hat;payment;SAS Chicken web services
5;FERIAS;Bedfordshire connecting Pre-emptive;Specialist;multimedia
6;OUTROS;digital navigating;FTP Sleek Plastic Shoes Belize Dollar;Indian Rupee Ngultrum Wooden Chicken
7;ABONO;card Representative Representative;Awesome Handmade Metal;Focused Congo Rufiyaa
8;ABONO;Soft Plains generate;interface;bypassing protocol Handcrafted Steel Towels
9;OUTROS;pink Rubber;indexing Program;deposit connecting
10;OUTROS;reboot;Ridges Program hub;exploit bandwidth-monitored Accounts
