id;codigo;nome;descricao
1;83948;Chief;Angola
2;97503;HTTP;transmitter bifurcated invoice
3;31085;withdrawal;Fiji Dollar green best-of-breed
4;95547;Investment Account Buckinghamshire;lavender dynamic Libyan Arab Jamahiriya
5;92949;Associate interfaces Technician;primary Directives
6;74867;orchid Personal Loan Account platforms;withdrawal Function-based
7;51949;Robust Cambridgeshire reinvent;Central
8;60601;driver invoice;Regional
9;77167;Pizza;Savings Account bluetooth zero tolerance
10;21616;Investor digital ivory;scale
