id;nome;descricao;data_inicio;data_fim
1;Grass-roots;synthesizing compress Assimilated;Avon Producer;lime
2;world-class card;Steel alarm Idaho;Chair;Refined Concrete Soap circuit revolutionize
3;Plastic Unbranded bleeding-edge;South Dakota Fantastic;haptic Supervisor User-friendly;Creative
4;redundant Comoros;Berkshire;infrastructure rich;bottom-line Virtual
5;foreground Administrator Incredible;didactic;Rustic;Malagasy Ariary
6;Cuban Peso Peso Convertible;Fantastic Frozen Hat redundant;Human Auto Loan Account Puerto Rico;Antigua and Barbuda International
7;Manors partnerships Michigan;collaboration;channels attitude;Crest Sleek Plastic Shirt
8;Accountability program;Hawaii Corners synergies;Greens;Ball e-commerce Sleek Plastic Mouse
9;Secured generating plum;open-source;transmit solid state;Credit Card Account primary Metrics
10;program;white compress;compress Lake;deposit
